,gene,class,family,S29,S30,S21,S22
41,LTR66,LTR,ERVL,20,44,36,44
42,LTR103_Mam,LTR,ERV1?,33,57,78,88
43,LTR61,LTR,ERV1,40,48,56,77
44,tRNA-Leu-TTA_m_,tRNA,tRNA,107,52,36,36
45,FordPrefect_a,DNA,hAT-Tip100,12,38,36,0
46,UCON67,Unknown,Unknown,4,28,8,0
47,LTR60,LTR,ERV1,0,20,0,12
48,tRNA-Leu-CTY,tRNA,tRNA,1,0,0,0
49,LTR60B,LTR,ERV1,4,12,20,4
50,UCON58,Unknown,Unknown,0,0,0,0
51,UCON59,Unknown,Unknown,0,0,20,24
52,UCON24,Unknown,Unknown,0,0,0,0
53,UCON57,Unknown,Unknown,0,0,0,0
54,UCON54,Unknown,Unknown,11,72,64,16
55,UCON55,DNA,TcMar-Tigger,68,96,142,79
56,UCON53,Unknown,Unknown,0,16,9,0
57,HERVKC4-int,LTR,ERVK,36,65,45,48
58,LSAU,Satellite,Satellite,0,0,4,0
59,Chap1_Mam,DNA,hAT-Charlie,353,708,491,486
60,LTR3,LTR,ERVK,226,170,338,177
61,X5B_LINE,LINE,CR1,5,29,16,32
62,AluSg7,SINE,Alu,1128,1479,1376,1132
63,AluYi6_4d,SINE,Alu,45,31,37,32
64,LTR4,LTR,ERV1,79,95,230,145
65,LTR5,LTR,ERVK,28,87,87,28
66,LTR8,LTR,ERV1,975,1345,1528,1171
67,LTR9,LTR,ERV1,200,283,165,145
68,UCON66,Unknown,Unknown,0,0,0,0
69,ORSL,DNA,hAT-Tip100,158,287,247,264
70,X9_LINE,LINE,L1,443,412,596,521
71,MER57C2,LTR,ERV1,8,48,20,56
72,HERVH48-int,LTR,ERV1,120,305,298,186
73,MER57C1,LTR,ERV1,65,79,83,28
74,LTR13A,LTR,ERVK,103,331,210,187
75,hAT-16_Crp,DNA,hAT-Charlie,0,4,0,0
76,MSTB1-int,LTR,ERVL-MaLR,112,60,104,48
77,tRNA-Asn-AAT,tRNA,tRNA,0,0,0,0
78,L1PB3,LINE,L1,2244,7198,3251,2458
79,MER115,DNA,hAT-Tip100,495,760,539,333
80,Tigger13a,DNA,TcMar-Tigger,576,1475,1123,903
81,MER117,DNA,hAT-Charlie,1054,1676,1559,1180
82,MER110,LTR,ERV1,72,84,112,67
83,MER112,DNA,hAT-Charlie,1033,1840,2092,1576
84,L1PB1,LINE,L1,3484,7122,4188,3978
85,MER74A,LTR,ERVL,310,489,453,473
86,HERVK11D-int,LTR,ERVK,0,12,8,13
87,LTR13_,LTR,ERVK,100,200,45,50
88,MER119,DNA,hAT-Charlie,229,519,456,260
89,MER5C1,DNA,hAT-Charlie,380,227,212,118
90,PABL_A,LTR,ERV1,44,193,179,160
91,LTR38,LTR,ERV1,0,48,4,8
92,ALR_Alpha,Satellite,centr,2045,2942,1882,1999
93,MamGypLTR3,LTR,Gypsy,28,68,36,51
94,MER65-int,LTR,ERV1,200,360,150,87
95,MLT1K,LTR,ERVL-MaLR,2784,3979,4097,3420
96,LTR32,LTR,ERVL,228,331,359,287
97,LTR33,LTR,ERVL,1236,2014,1907,1437
98,L1MA10,LINE,L1,708,1379,1226,1060
99,LTR31,LTR,ERV1,76,27,28,35
100,AluYg6,SINE,Alu,124,62,55,50
101,LTR34,LTR,ERV1,56,88,74,40
102,LTR35,LTR,ERV1,13,18,76,9
103,MLT2B2,LTR,ERVL,210,256,254,206
104,HERVK13-int,LTR,ERVK,288,300,281,220
105,UCON25,Unknown,Unknown,0,0,0,0
106,Tigger17a,DNA,TcMar-Tigger,1054,1947,1380,1262
107,L1P1,LINE,L1,584,1301,891,774
108,L1P3,LINE,L1,1119,1837,1361,957
109,L1P2,LINE,L1,963,1791,1090,1124
110,L1P5,LINE,L1,42,85,51,63
111,L1P4,LINE,L1,633,1429,704,604
112,LTR108b_Mam,LTR,ERVL,0,20,0,12
113,LTR21A,LTR,ERV1,1657,1521,4476,2706
114,tRNA-Arg-AGA,tRNA,tRNA,0,0,28,12
115,LTR21C,LTR,ERVL,0,0,0,0
116,LTR21B,LTR,ERV1,12,12,4,28
117,LTR86B1,LTR,ERVL,123,108,124,79
118,LTR86B2,LTR,ERVL,0,76,35,12
119,UCON103,Unknown,Unknown,0,0,0,0
120,UCON101,Unknown,Unknown,0,0,0,0
121,L1PB,LINE,L1,165,519,348,214
122,UCON107,DNA,hAT-Tag1,4,47,91,48
123,ERV3-16A3_LTR,LTR,ERVL,124,231,257,184
124,tRNA-Glu-GAA,tRNA,tRNA,15,63,16,15
125,LTR18A,LTR,ERVL,147,48,44,100
126,LTR18C,LTR,ERVL,0,8,4,16
127,LTR18B,LTR,ERVL,52,116,76,128
128,ERV24_Prim-int,LTR,ERV1,96,73,98,24
129,MER70C,LTR,ERVL,48,28,47,40
130,LTR3B,LTR,ERVK,0,11,38,4
131,LTR3A,LTR,ERVK,57,66,76,124
132,MSTA,LTR,ERVL-MaLR,2904,3996,3749,2928
133,MSTB,LTR,ERVL-MaLR,1507,2861,2139,1454
134,LTR59,LTR,ERV1,23,16,36,4
135,MER11D,LTR,ERVK,14,46,37,65
136,LTR108a_Mam,LTR,ERVL,13,68,28,8
137,GSATII,Satellite,centr,4,27,18,11
138,ERVL47-int,LTR,ERVL,16,44,44,8
139,MER11C,LTR,ERVK,268,421,295,243
140,MER83B,LTR,ERV1,34,146,45,33
141,LTR24C,LTR,ERV1,36,83,55,47
142,LTR54,LTR,ERV1,119,296,116,160
143,tRNA-Pro-CCY,tRNA,tRNA,0,0,0,0
144,MER129,LTR?,LTR?,0,20,20,8
145,MER6C,DNA,TcMar-Tigger,39,19,78,24
146,LTR16B,LTR,ERVL,36,145,129,188
147,MER6A,DNA,TcMar-Tigger,329,694,626,416
148,MER130,DNA,DNA,16,24,24,28
149,Tigger15a,DNA,TcMar-Tigger,1268,3092,2070,1588
150,Tigger2b_Pri,DNA,TcMar-Tigger,472,957,686,650
151,Kanga11a,DNA,TcMar-Tc2,64,260,167,110
152,MER131,DNA?,DNA?,287,605,438,409
153,THE1D,LTR,ERVL-MaLR,1640,2371,1953,1585
154,Ricksha_c,DNA,MULE-MuDR,134,245,138,195
155,FordPrefect,DNA,hAT-Tip100,207,212,379,389
156,Charlie10a,DNA,hAT-Charlie,72,167,144,112
157,L1M3c,LINE,L1,202,509,319,305
158,Charlie10b,DNA,hAT-Charlie,72,168,93,47
159,L1M3f,LINE,L1,263,365,100,191
160,L1M3d,LINE,L1,96,208,104,128
161,L1M3e,LINE,L1,379,677,405,330
162,LTR47B4,LTR,ERVL,36,40,40,28
163,MLT2C2,LTR,ERVL,130,218,257,86
164,MER92C,LTR,ERV1,16,0,29,0
165,MER92B,LTR,ERV1,305,310,417,360
166,CR1-13_AMi,LINE,CR1,12,20,44,8
167,MER134,DNA?,DNA?,16,72,0,0
168,LTR47B2,LTR,ERVL,13,53,40,24
169,LTR47B3,LTR,ERVL,36,28,48,4
170,LTR1A2,LTR,ERV1,187,431,229,170
171,MER51A,LTR,ERV1,637,1098,576,535
172,MER51B,LTR,ERV1,140,192,204,94
173,LTR1A1,LTR,ERV1,88,68,104,88
174,MER51D,LTR,ERV1,0,9,16,48
175,MER51E,LTR,ERV1,11,43,24,20
176,Tigger5,DNA,TcMar-Tigger,108,306,364,169
177,HERV4_I-int,LTR,ERV1,126,277,139,245
178,LTR86C,LTR,ERVL,42,91,79,24
179,MER45C,DNA,hAT-Tip100,226,322,318,180
180,MER45B,DNA,hAT-Tip100,200,276,211,195
181,L3b,LINE,CR1,2611,3852,3998,2740
182,LTR108e_Mam,LTR,ERVL,0,16,20,27
183,MER75A,DNA,PiggyBac,16,36,48,12
184,MER83B-int,LTR,ERV1,12,59,12,48
185,Tigger11a,DNA,TcMar-Tigger,487,512,700,393
186,Ricksha,DNA,MULE-MuDR,31,40,39,12
187,MER57A-int,LTR,ERV1,1043,1108,1075,812
188,HERVL66-int,LTR,ERVL,33,83,71,69
189,L1MA1,LINE,L1,1061,2626,1541,1098
190,L1MA2,LINE,L1,2006,4687,2513,1828
191,L1MA3,LINE,L1,2889,6745,3319,3238
192,L1MA4,LINE,L1,2402,5671,3235,2981
193,AluYc,SINE,Alu,471,664,456,402
194,L1MA6,LINE,L1,1405,2373,1683,1330
195,L1MA7,LINE,L1,1825,3652,2592,1930
196,Charlie29a,DNA,hAT-Charlie,614,1130,999,693
197,L1MA9,LINE,L1,2833,5890,3535,3276
198,MER4D1,LTR,ERV1,266,424,420,262
199,THE1C-int,LTR,ERVL-MaLR,459,1223,771,683
200,UCON16,Unknown,Unknown,4,0,0,0
201,tRNA-Leu-TTG,tRNA,tRNA,12,8,0,0
202,tRNA-Gln-CAA,tRNA,tRNA,24,20,8,0
203,ERVL-int,LTR,ERVL,141,380,295,333
204,tRNA-Leu-TTA,tRNA,tRNA,0,0,27,0
205,tRNA-Gln-CAG,tRNA,tRNA,8,0,0,0
206,_GAATG_n,Satellite,Satellite,1,9,24,14
207,MLT1G-int,LTR,ERVL-MaLR,72,184,100,40
208,MER2B,DNA,TcMar-Tigger,714,1000,919,798
209,UCON12,Unknown,Unknown,0,12,0,0
210,MER30,DNA,hAT-Charlie,1273,2245,1521,1247
211,SSU-rRNA_Hsa,rRNA,rRNA,4426,6517,14502,8659
212,Charlie19a,DNA,hAT-Charlie,497,816,484,550
213,MLT1-int,LTR,ERVL-MaLR,37,45,34,90
214,UCON17,Unknown,Unknown,0,0,0,0
215,UCON14,DNA?,DNA?,0,4,40,12
216,MLT1E2,LTR,ERVL-MaLR,857,1737,1363,823
217,MER21-int,LTR,ERVL,232,451,338,409
218,UCON18,Unknown,Unknown,0,0,0,0
219,MIR,SINE,MIR,38456,58886,51202,40038
220,_CATTC_n,Satellite,Satellite,0,0,2,0
221,MLT1E1,LTR,ERVL-MaLR,155,112,98,199
222,MER92-int,LTR,ERV1,181,459,175,238
223,tRNA-Asn-AAC,tRNA,tRNA,2,2,0,0
224,THE1A-int,LTR,ERVL-MaLR,1344,1751,2102,1537
225,tRNA-Val-GTA,tRNA,tRNA,0,0,0,0
226,LTR72B,LTR,ERV1,16,28,4,0
227,Charlie4z,DNA,hAT-Charlie,2432,3428,3236,2436
228,Tigger1a_Mars,DNA,TcMar-Tigger,0,24,0,0
229,MLT1F2,LTR,ERVL-MaLR,1160,1884,1838,1083
230,Charlie4a,DNA,hAT-Charlie,1048,1548,1252,1277
231,MLT1F1,LTR,ERVL-MaLR,1012,1057,1074,669
232,tRNA-Cys-TGY,tRNA,tRNA,4,20,20,4
233,tRNA-Gln-CAA_,tRNA,tRNA,36,0,0,0
234,ERVL-E-int,LTR,ERVL,1336,2723,1844,1742
235,X2_LINE,LINE,CR1,8,28,19,12
236,X7A_LINE,LINE,CR1,259,346,239,224
237,UCON8,DNA,DNA,40,44,28,16
238,MER50-int,LTR,ERV1,90,220,165,139
239,LTR54B,LTR,ERV1,240,283,310,253
240,MamRep488,DNA,hAT-Tip100,77,112,64,60
241,MER84-int,LTR,ERV1,3,47,9,35
242,LTR102_Mam,LTR,ERVL,68,120,56,88
243,PABL_B-int,LTR,ERV1,248,393,506,422
244,MER41-int,LTR,ERV1,466,1117,615,737
245,Eulor6C,DNA?,DNA?,0,0,0,0
246,L1MA4A,LINE,L1,2042,4617,2409,2277
247,HERVIP10FH-int,LTR,ERV1,218,530,402,280
248,tRNA-Met_,tRNA,tRNA,0,32,0,0
249,MER67D,LTR,ERV1,51,141,45,64
250,MLT1H1,LTR,ERVL-MaLR,370,829,646,527
251,AluYh3,SINE,Alu,356,313,294,263
252,AluYk4,SINE,Alu,185,198,188,161
253,AluYk2,SINE,Alu,95,199,182,90
254,AluYk3,SINE,Alu,131,189,209,120
255,LTR27B,LTR,ERV1,59,76,67,28
256,MER8,DNA,TcMar-Tigger,715,947,919,901
257,tRNA-Leu-CTA,tRNA,tRNA,4,0,0,0
258,MSTC,LTR,ERVL-MaLR,768,1153,911,820
259,LTR2752,LTR,ERV1,80,128,64,91
260,UCON39,DNA,TcMar-Tigger,313,398,395,204
261,LTR39-int,LTR,ERV1,0,28,16,56
262,HSAT5,Satellite,Satellite,25,60,28,56
263,HSAT4,Satellite,centr,244,393,148,237
264,LTR22B1,LTR,ERVK,71,153,121,95
265,L1ME3E,LINE,L1,1183,2241,1728,1307
266,UCON89,DNA,hAT?,0,12,20,8
267,LTR46-int,LTR,ERV1,167,261,277,227
268,tRNA-Thr-ACG,tRNA,tRNA,0,0,0,0
269,L1P4b,LINE,L1,0,26,24,0
270,Zaphod3,DNA,hAT-Tip100,129,185,214,64
271,L1PBa,LINE,L1,678,1167,729,540
272,MamRTE1,LINE,RTE-BovB,8145,8350,12566,8982
273,UCON80,DNA,hAT?,36,9,79,35
274,UCON83,SINE?,SINE?,0,12,0,0
275,LTR16D,LTR,ERVL,103,180,152,126
276,LTR16C,LTR,ERVL,1024,1274,1176,940
277,L1PBb,LINE,L1,100,194,130,84
278,LTR16A,LTR,ERVL,447,750,489,485
279,UCON86,LINE,L2,16,4,60,8
280,LTR16B2,LTR,ERVL,207,343,176,198
281,SAR,Satellite,Satellite,0,43,8,0
282,MARNA,DNA,TcMar-Mariner,1874,2832,2909,1745
283,LTR16B1,LTR,ERVL,174,200,148,146
284,LTR9A1,LTR,ERV1,63,160,155,128
285,MER58D,DNA,hAT-Charlie,807,1152,945,1168
286,MER58C,DNA,hAT-Charlie,746,1201,1471,900
287,MER58B,DNA,hAT-Charlie,2042,3293,2845,2240
288,MER58A,DNA,hAT-Charlie,5716,7733,6855,5135
289,MamGypLTR2c,LTR,Gypsy,88,151,96,96
290,HSATI,Satellite,Satellite,0,20,0,0
291,Charlie3,DNA,hAT-Charlie,207,469,281,224
292,Charlie1,DNA,hAT-Charlie,1433,1547,1701,1107
293,Charlie6,DNA,hAT-Charlie,146,142,256,136
294,Charlie7,DNA,hAT-Charlie,842,1319,1253,933
295,Charlie4,DNA,hAT-Charlie,41,1,8,9
296,Charlie5,DNA,hAT-Charlie,442,736,633,547
297,MER39B,LTR,ERV1,475,683,599,340
298,Charlie8,DNA,hAT-Charlie,751,1230,1446,1217
299,L1MC5,LINE,L1,6940,10798,9443,7220
300,MER101-int,LTR,ERV1,618,1228,816,619
301,HSMAR1,DNA,TcMar-Mariner,820,997,1648,965
302,LTR42,LTR,ERVL,108,173,260,56
303,LTR41,LTR,ERVL,594,655,1019,859
304,HSMAR2,DNA,TcMar-Mariner,451,1270,1125,670
305,LTR46,LTR,ERV1,215,160,320,164
306,LTR45,LTR,ERV1,0,28,32,16
307,LTR44,LTR,ERV1,32,84,100,43
308,Tigger19a,DNA,TcMar-Tigger,1260,1998,1896,1229
309,LTR49,LTR,ERV1,96,339,374,253
310,LTR48,LTR,ERV1,171,233,297,216
311,AluYb9,SINE,Alu,43,116,82,57
312,AluYb8,SINE,Alu,284,361,369,283
313,LTR38C,LTR,ERV1,0,36,24,0
314,LTR38B,LTR,ERV1,80,28,44,44
315,tRNA-Leu-CTG,tRNA,tRNA,0,0,20,12
316,Tigger4a,DNA,TcMar-Tigger,1122,2120,1277,1448
317,LTR26B,LTR,ERV1,4,56,24,8
318,Alu,SINE,Alu,394,506,590,413
319,LTR26D,LTR,ERV1,41,43,0,3
320,LTR26E,LTR,ERV1,68,119,87,87
321,MER9a2,LTR,ERVK,96,145,194,102
322,HERV15-int,LTR,ERV1,41,94,87,68
323,L1MB8,LINE,L1,7992,13859,10541,9054
324,UCON69,DNA,hAT?,0,8,0,0
325,Charlie14a,DNA,hAT-Charlie,514,587,828,785
326,HERV-Fc2-int,LTR,ERV1,0,2,0,0
327,L1MB1,LINE,L1,1001,2094,1467,1509
328,L1MB3,LINE,L1,7403,12309,9370,7694
329,L1MB2,LINE,L1,4502,12418,6441,5326
330,L1MB5,LINE,L1,3659,6606,4627,4098
331,L1MB4,LINE,L1,3865,7007,5347,4481
332,AluJr4,SINE,Alu,2952,4194,4513,3584
333,L1P4a,LINE,L1,172,273,156,110
334,UCON4,Unknown,Unknown,32,148,60,16
335,UCON71_Crp,Unknown,Unknown,133,79,237,126
336,MamRep4096,DNA,hAT-Tip100,365,366,252,175
337,MER135,DNA,DNA,135,180,281,145
338,THE1-int,LTR,ERVL-MaLR,132,202,218,118
339,HERVS71-int,LTR,ERV1,223,246,496,373
340,HSAT6,Satellite,Satellite,0,0,0,0
341,HERVK11-int,LTR,ERVK,76,224,160,183
342,ACRO1,Satellite,acro,3,14,0,2
343,LTR90A,LTR,LTR,74,67,111,95
344,UCON35,Unknown,Unknown,4,16,4,12
345,LTR90B,LTR,LTR,84,126,24,86
346,LTR27E,LTR,ERV1,59,63,72,28
347,MER65B,LTR,ERV1,141,181,40,16
348,MER65A,LTR,ERV1,153,409,303,179
349,UCON88,Unknown,Unknown,0,16,0,8
350,HERVK3-int,LTR,ERVK,567,647,692,727
351,L1ME2z,LINE,L1,2654,4365,3509,2868
352,L1PA11,LINE,L1,1399,2710,1964,1544
353,OldhAT1,DNA,hAT-Ac,3611,4577,5534,3592
354,LTR91,LTR,ERVL,16,56,12,20
355,Charlie1a,DNA,hAT-Charlie,2545,4582,3379,2773
356,Charlie1b,DNA,hAT-Charlie,1250,1642,1614,1292
357,PRIMA41-int,LTR,ERV1,90,205,116,77
358,LTR26C,LTR,ERV1,24,44,43,12
359,LTR27D,LTR,ERV1,36,4,24,0
360,SST1,Satellite,centr,53,52,86,41
361,MER54A,LTR,ERVL,120,263,102,97
362,MER103C,DNA,hAT-Charlie,2634,3711,4262,3279
363,MER51-int,LTR,ERV1,158,316,318,232
364,MER67C,LTR,ERV1,146,240,236,218
365,L1PA15,LINE,L1,2228,4908,2787,2543
366,SVA_C,Retroposon,SVA,181,200,182,129
367,AluYm1,SINE,Alu,446,630,660,508
368,UCON81,DNA,hAT-Charlie,0,0,0,16
369,LTR1D1,LTR,ERV1,64,80,84,92
370,L1PA17,LINE,L1,914,2153,1418,1335
371,ERV3-16A3_I-int,LTR,ERVL,1125,1766,1484,1187
372,MER34A1,LTR,ERV1,212,328,346,277
373,Tigger16a,DNA,TcMar-Tigger,454,760,465,441
374,THE1B-int,LTR,ERVL-MaLR,1379,3189,1733,2164
375,Tigger9a,DNA,TcMar-Tigger,204,511,315,220
376,Tigger9b,DNA,TcMar-Tigger,430,482,402,194
377,LTR27C,LTR,ERV1,181,192,132,116
378,Charlie18a,DNA,hAT-Charlie,2192,2468,1700,1201
379,MLT2F,LTR,ERVL,307,377,487,440
380,AluSq10,SINE,Alu,257,334,311,254
381,AluJr,SINE,Alu,16705,20548,20513,14590
382,Charlie10,DNA,hAT-Charlie,262,407,196,324
383,Charlie11,DNA,hAT-Charlie,52,88,24,44
384,Charlie12,DNA,hAT-Charlie,16,8,32,24
385,UCON21,DNA?,DNA?,0,0,0,4
386,L1MEg1,LINE,L1,327,569,295,219
387,L1MEg2,LINE,L1,108,219,204,251
388,Charlie17,DNA,hAT-Charlie,393,475,472,343
389,MER110A,LTR,ERV1,80,119,40,68
390,UCON56,Unknown,Unknown,0,0,0,0
391,UCON82,Unknown,Unknown,0,4,0,0
392,HERVE-int,LTR,ERV1,249,409,279,221
393,MLT1L,LTR,ERVL-MaLR,2712,3915,2790,2623
394,UCON87,Unknown,Unknown,0,0,0,0
395,MLT1H1-int,LTR,ERVL-MaLR,52,173,61,40
396,tRNA-Ala-GCA,tRNA,tRNA,16,0,0,0
397,HUERS-P2-int,LTR,ERV1,28,89,56,28
398,UCON62,DNA?,DNA?,0,0,0,0
399,MLT1E3-int,LTR,ERVL-MaLR,1,46,14,28
400,L2a,LINE,L2,59858,92421,82503,67371
401,Kanga1,DNA,TcMar-Tc2,52,173,127,94
402,MamGyp-int,LTR,Gypsy,466,392,481,276
403,CR1-3_Croc,LINE,CR1,259,571,614,432
404,LTR22E,LTR,ERVK,181,189,325,99
405,MER76-int,LTR,ERVL,88,72,44,96
406,UCON60,Unknown,Unknown,0,12,0,12
407,ERVL-B4-int,LTR,ERVL,1071,1967,1560,1164
408,LTR22B,LTR,ERVK,64,89,34,52
409,LTR22C,LTR,ERVK,0,0,3,3
410,MER81,DNA,hAT-Blackjack,244,416,259,295
411,MLT1H2,LTR,ERVL-MaLR,3225,3413,4233,3383
412,UCON23,DNA,hAT-Tip100?,16,0,8,4
413,MST-int,LTR,ERVL-MaLR,176,230,179,108
414,UCON12A,Unknown,Unknown,0,0,0,0
415,UCON31,Unknown,Unknown,4,0,28,0
416,UCON51,LTR?,LTR?,0,16,0,12
417,CR1-16_AMi,LINE,CR1,114,110,24,100
418,L4_A_Mam,LINE,RTE-X,1217,2360,1758,1175
419,HERVH-int,LTR,ERV1,4366,5580,6964,4208
420,AluSg4,SINE,Alu,990,1045,1521,1160
421,LTR23-int,LTR,ERV1,16,16,13,10
422,LTR88c,LTR,Gypsy?,108,52,107,52
423,MamTip1,DNA,hAT-Tip100,104,294,127,140
424,UCON48,Unknown,Unknown,4,32,4,20
425,MamTip3,DNA,hAT-Tip100,104,180,124,99
426,MamTip2,DNA,hAT-Tip100,1383,1759,1968,1218
427,THE1C,LTR,ERVL-MaLR,1025,1971,1738,1695
428,THE1B,LTR,ERVL-MaLR,2549,4585,3446,3083
429,THE1A,LTR,ERVL-MaLR,996,1496,1851,1124
430,UCON46,Unknown,Unknown,0,32,0,24
431,UCON41,Unknown,Unknown,0,0,0,0
432,UCON40,Unknown,Unknown,156,236,204,307
433,UCON43,Unknown,Unknown,0,0,8,0
434,MER84,LTR,ERV1,139,135,180,142
435,MER4CL34,LTR,ERV1,105,200,104,208
436,LTR1,LTR,ERV1,30,93,79,64
437,MamRep1161,DNA,TcMar-Tigger,0,11,0,8
438,HERV1_I-int,LTR,ERV1,128,186,100,144
439,LTR53B,LTR,ERVL,80,44,36,16
440,UCON68,Unknown,Unknown,0,0,0,0
441,Eulor2A,DNA?,DNA?,8,28,32,8
442,Eulor2B,DNA?,DNA?,36,39,92,20
443,Eulor2C,DNA?,DNA?,0,20,0,0
444,L1M4c,LINE,L1,2952,5375,2904,2504
445,L1M4b,LINE,L1,1117,2145,1744,1180
446,LTR109A2,LTR,ERV1,0,0,0,0
447,Plat_L3,LINE,CR1,619,1172,950,1109
448,tRNA-Pro-CCA,tRNA,tRNA,0,0,0,0
449,tRNA-Pro-CCG,tRNA,tRNA,4,0,0,0
450,X6A_LINE,LINE,CR1,368,629,824,434
451,LTR06,LTR,ERV1,28,14,32,44
452,MER101,LTR,ERV1,12,60,129,32
453,HERVL32-int,LTR,ERVL,27,16,16,20
454,L1PREC2,LINE,L1,2327,4182,3621,3118
455,MamGypLTR2b,LTR,Gypsy,4,170,13,100
456,MER105,DNA,hAT-Charlie,320,411,311,242
457,MER104,DNA,TcMar-Tc2,704,1015,850,719
458,MamGypLTR3a,LTR,Gypsy,131,176,130,89
459,MER67B,LTR,ERV1,63,137,116,116
460,U13_,snRNA,snRNA,124,129,91,52
461,tRNA-His-CAY_,tRNA,tRNA,0,16,15,12
462,HERVK-int,LTR,ERVK,313,520,206,134
463,AluYf1,SINE,Alu,259,288,299,233
464,AluSx4,SINE,Alu,1820,2432,2369,1971
465,LTR38A1,LTR,ERV1,0,4,4,20
466,AluSx1,SINE,Alu,16438,19294,19015,14610
467,AluSx3,SINE,Alu,4586,5215,6952,4730
468,L1HS,LINE,L1,426,838,561,462
469,L5,LINE,RTE-X,235,276,220,204
470,MER21C,LTR,ERVL,2505,3564,2719,2316
471,MER21B,LTR,ERVL,1324,2237,2219,1480
472,MER21A,LTR,ERVL,824,1392,1264,866
473,tRNA-Ser-TCG,tRNA,tRNA,0,0,0,0
474,L2,LINE,L2,19983,31292,26239,23749
475,MIR3,SINE,MIR,24199,31760,32425,24894
476,L3,LINE,CR1,17262,23797,24250,18263
477,Charlie21a,DNA,hAT-Charlie,493,800,807,488
478,ERV24B_Prim-int,LTR,ERV1,60,89,58,72
479,Chompy-6_Croc,DNA,PIF-Harbinger,0,4,0,0
480,MER68-int,LTR,ERVL,127,106,79,96
481,L1M2a1,LINE,L1,12,32,16,32
482,MER88,LTR,ERVL,0,20,0,4
483,LTR75_1,LTR,ERV1,12,76,32,76
484,MER57E1,LTR,ERV1,62,82,150,37
485,MER4A1_,LTR,ERV1,268,274,386,322
486,MER57E3,LTR,ERV1,165,228,351,130
487,HERVK14-int,LTR,ERVK,127,227,117,72
488,GSATX,Satellite,centr,0,4,0,0
489,tRNA-Ser-TCA,tRNA,tRNA,0,0,0,0
490,MER85,DNA,PiggyBac,231,397,420,374
491,LTR16A2,LTR,ERVL,219,231,248,266
492,LTR16A1,LTR,ERVL,330,441,707,532
493,LTR19-int,LTR,ERV1,120,173,281,148
494,LTR71A,LTR,ERV1,4,88,72,48
495,LTR71B,LTR,ERV1,70,89,37,83
496,Charlie9,DNA,hAT-Charlie,383,543,705,647
497,MLT1J-int,LTR,ERVL-MaLR,211,341,397,219
498,MER61C,LTR,ERV1,74,96,22,36
499,MER61B,LTR,ERV1,16,88,131,28
500,MER61A,LTR,ERV1,136,119,76,72
501,Tigger5b,DNA,TcMar-Tigger,1008,3066,1119,575
502,MER61F,LTR,ERV1,12,36,28,20
503,MER61E,LTR,ERV1,211,168,349,282
504,MER61D,LTR,ERV1,30,127,20,8
505,MER136,DNA,DNA,0,0,8,0
506,MER75,DNA,PiggyBac,147,288,227,132
507,MER76,LTR,ERVL,123,137,154,115
508,MER77,LTR,ERVL,687,867,944,922
509,MER72,LTR,ERV1,205,285,256,159
510,MER73,LTR,ERVL,59,68,90,32
