,gene,class,family,S27,S28,S21,S22
86,HERVK11D-int,LTR,ERVK,25,0,8,13
87,LTR13_,LTR,ERVK,73,98,45,50
88,MER119,DNA,hAT-Charlie,386,265,456,260
89,MER5C1,DNA,hAT-Charlie,152,146,212,118
90,PABL_A,LTR,ERV1,165,136,179,160
91,LTR38,LTR,ERV1,4,32,4,8
92,ALR_Alpha,Satellite,centr,3075,2235,1882,1999
93,MamGypLTR3,LTR,Gypsy,116,23,36,51
94,MER65-int,LTR,ERV1,224,205,150,87
95,MLT1K,LTR,ERVL-MaLR,3373,2803,4097,3420
96,LTR32,LTR,ERVL,221,282,359,287
97,LTR33,LTR,ERVL,1179,1399,1907,1437
98,L1MA10,LINE,L1,966,1068,1226,1060
99,LTR31,LTR,ERV1,68,12,28,35
100,AluYg6,SINE,Alu,31,46,55,50
101,LTR34,LTR,ERV1,48,16,74,40
102,LTR35,LTR,ERV1,64,47,76,9
103,MLT2B2,LTR,ERVL,136,286,254,206
104,HERVK13-int,LTR,ERVK,165,240,281,220
105,UCON25,Unknown,Unknown,4,4,0,0
106,Tigger17a,DNA,TcMar-Tigger,1094,1275,1380,1262
107,L1P1,LINE,L1,627,833,891,774
108,L1P3,LINE,L1,1123,1087,1361,957
109,L1P2,LINE,L1,894,1022,1090,1124
110,L1P5,LINE,L1,52,26,51,63
111,L1P4,LINE,L1,596,617,704,604
112,LTR108b_Mam,LTR,ERVL,20,24,0,12
113,LTR21A,LTR,ERV1,1486,1788,4476,2706
114,tRNA-Arg-AGA,tRNA,tRNA,4,0,28,12
115,LTR21C,LTR,ERVL,0,0,0,0
116,LTR21B,LTR,ERV1,4,0,4,28
117,LTR86B1,LTR,ERVL,124,79,124,79
118,LTR86B2,LTR,ERVL,36,20,35,12
119,UCON103,Unknown,Unknown,0,0,0,0
120,UCON101,Unknown,Unknown,0,0,0,0
121,L1PB,LINE,L1,313,211,348,214
122,UCON107,DNA,hAT-Tag1,28,55,91,48
123,ERV3-16A3_LTR,LTR,ERVL,148,180,257,184
124,tRNA-Glu-GAA,tRNA,tRNA,28,38,16,15
125,LTR18A,LTR,ERVL,44,64,44,100
126,LTR18C,LTR,ERVL,0,0,4,16
127,LTR18B,LTR,ERVL,44,76,76,128
128,ERV24_Prim-int,LTR,ERV1,39,64,98,24
129,MER70C,LTR,ERVL,32,11,47,40
130,LTR3B,LTR,ERVK,0,5,38,4
131,LTR3A,LTR,ERVK,81,114,76,124
132,MSTA,LTR,ERVL-MaLR,2777,3271,3749,2928
133,MSTB,LTR,ERVL-MaLR,1604,1554,2139,1454
134,LTR59,LTR,ERV1,12,16,36,4
135,MER11D,LTR,ERVK,33,21,37,65
136,LTR108a_Mam,LTR,ERVL,16,24,28,8
137,GSATII,Satellite,centr,12,13,18,11
138,ERVL47-int,LTR,ERVL,28,24,44,8
139,MER11C,LTR,ERVK,270,381,295,243
140,MER83B,LTR,ERV1,56,30,45,33
141,LTR24C,LTR,ERV1,54,96,55,47
142,LTR54,LTR,ERV1,80,110,116,160
143,tRNA-Pro-CCY,tRNA,tRNA,12,0,0,0
144,MER129,LTR?,LTR?,0,12,20,8
145,MER6C,DNA,TcMar-Tigger,45,41,78,24
146,LTR16B,LTR,ERVL,89,115,129,188
147,MER6A,DNA,TcMar-Tigger,351,348,626,416
148,MER130,DNA,DNA,31,12,24,28
149,Tigger15a,DNA,TcMar-Tigger,1656,1710,2070,1588
150,Tigger2b_Pri,DNA,TcMar-Tigger,583,542,686,650
151,Kanga11a,DNA,TcMar-Tc2,136,78,167,110
152,MER131,DNA?,DNA?,432,414,438,409
153,THE1D,LTR,ERVL-MaLR,1422,1725,1953,1585
154,Ricksha_c,DNA,MULE-MuDR,210,241,138,195
155,FordPrefect,DNA,hAT-Tip100,122,236,379,389
156,Charlie10a,DNA,hAT-Charlie,115,52,144,112
157,L1M3c,LINE,L1,323,184,319,305
158,Charlie10b,DNA,hAT-Charlie,52,32,93,47
159,L1M3f,LINE,L1,327,196,100,191
160,L1M3d,LINE,L1,91,136,104,128
161,L1M3e,LINE,L1,528,516,405,330
162,LTR47B4,LTR,ERVL,36,4,40,28
163,MLT2C2,LTR,ERVL,139,97,257,86
164,MER92C,LTR,ERV1,0,4,29,0
165,MER92B,LTR,ERV1,430,395,417,360
166,CR1-13_AMi,LINE,CR1,0,32,44,8
167,MER134,DNA?,DNA?,0,16,0,0
168,LTR47B2,LTR,ERVL,78,17,40,24
169,LTR47B3,LTR,ERVL,24,44,48,4
170,LTR1A2,LTR,ERV1,129,264,229,170
171,MER51A,LTR,ERV1,531,481,576,535
172,MER51B,LTR,ERV1,105,124,204,94
173,LTR1A1,LTR,ERV1,89,84,104,88
174,MER51D,LTR,ERV1,16,20,16,48
175,MER51E,LTR,ERV1,28,24,24,20
176,Tigger5,DNA,TcMar-Tigger,187,180,364,169
177,HERV4_I-int,LTR,ERV1,157,125,139,245
178,LTR86C,LTR,ERVL,43,96,79,24
179,MER45C,DNA,hAT-Tip100,158,269,318,180
180,MER45B,DNA,hAT-Tip100,151,201,211,195
181,L3b,LINE,CR1,2815,2767,3998,2740
182,LTR108e_Mam,LTR,ERVL,4,0,20,27
183,MER75A,DNA,PiggyBac,4,0,48,12
184,MER83B-int,LTR,ERV1,29,43,12,48
185,Tigger11a,DNA,TcMar-Tigger,875,469,700,393
186,Ricksha,DNA,MULE-MuDR,19,17,39,12
187,MER57A-int,LTR,ERV1,1207,892,1075,812
188,HERVL66-int,LTR,ERVL,55,66,71,69
189,L1MA1,LINE,L1,1428,1256,1541,1098
190,L1MA2,LINE,L1,2655,2208,2513,1828
191,L1MA3,LINE,L1,3282,3359,3319,3238
192,L1MA4,LINE,L1,3118,3182,3235,2981
193,AluYc,SINE,Alu,459,352,456,402
194,L1MA6,LINE,L1,1516,1380,1683,1330
195,L1MA7,LINE,L1,2049,1980,2592,1930
196,Charlie29a,DNA,hAT-Charlie,658,585,999,693
197,L1MA9,LINE,L1,3149,3146,3535,3276
198,MER4D1,LTR,ERV1,326,291,420,262
199,THE1C-int,LTR,ERVL-MaLR,668,813,771,683
200,UCON16,Unknown,Unknown,0,0,0,0
201,tRNA-Leu-TTG,tRNA,tRNA,4,12,0,0
202,tRNA-Gln-CAA,tRNA,tRNA,0,0,8,0
203,ERVL-int,LTR,ERVL,243,247,295,333
204,tRNA-Leu-TTA,tRNA,tRNA,8,0,27,0
205,tRNA-Gln-CAG,tRNA,tRNA,0,0,0,0
206,_GAATG_n,Satellite,Satellite,15,5,24,14
207,MLT1G-int,LTR,ERVL-MaLR,100,34,100,40
208,MER2B,DNA,TcMar-Tigger,745,771,919,798
209,UCON12,Unknown,Unknown,4,0,0,0
210,MER30,DNA,hAT-Charlie,1203,1013,1521,1247
211,SSU-rRNA_Hsa,rRNA,rRNA,8168,12247,14502,8659
212,Charlie19a,DNA,hAT-Charlie,675,565,484,550
213,MLT1-int,LTR,ERVL-MaLR,26,31,34,90
214,UCON17,Unknown,Unknown,0,0,0,0
215,UCON14,DNA?,DNA?,12,16,40,12
216,MLT1E2,LTR,ERVL-MaLR,841,931,1363,823
217,MER21-int,LTR,ERVL,239,307,338,409
218,UCON18,Unknown,Unknown,0,0,0,0
219,MIR,SINE,MIR,40408,39623,51202,40038
220,_CATTC_n,Satellite,Satellite,5,1,2,0
221,MLT1E1,LTR,ERVL-MaLR,146,127,98,199
222,MER92-int,LTR,ERV1,130,168,175,238
223,tRNA-Asn-AAC,tRNA,tRNA,0,3,0,0
224,THE1A-int,LTR,ERVL-MaLR,2082,1360,2102,1537
225,tRNA-Val-GTA,tRNA,tRNA,0,0,0,0
226,LTR72B,LTR,ERV1,0,4,4,0
227,Charlie4z,DNA,hAT-Charlie,2247,2371,3236,2436
228,Tigger1a_Mars,DNA,TcMar-Tigger,0,0,0,0
229,MLT1F2,LTR,ERVL-MaLR,1075,1358,1838,1083
230,Charlie4a,DNA,hAT-Charlie,1145,916,1252,1277
231,MLT1F1,LTR,ERVL-MaLR,711,699,1074,669
232,tRNA-Cys-TGY,tRNA,tRNA,4,20,20,4
233,tRNA-Gln-CAA_,tRNA,tRNA,8,0,0,0
234,ERVL-E-int,LTR,ERVL,1283,1793,1844,1742
235,X2_LINE,LINE,CR1,43,24,19,12
236,X7A_LINE,LINE,CR1,200,217,239,224
237,UCON8,DNA,DNA,36,72,28,16
238,MER50-int,LTR,ERV1,99,64,165,139
239,LTR54B,LTR,ERV1,168,199,310,253
240,MamRep488,DNA,hAT-Tip100,84,96,64,60
241,MER84-int,LTR,ERV1,5,28,9,35
242,LTR102_Mam,LTR,ERVL,136,79,56,88
243,PABL_B-int,LTR,ERV1,482,417,506,422
244,MER41-int,LTR,ERV1,555,500,615,737
245,Eulor6C,DNA?,DNA?,0,0,0,0
246,L1MA4A,LINE,L1,2821,2419,2409,2277
247,HERVIP10FH-int,LTR,ERV1,268,230,402,280
248,tRNA-Met_,tRNA,tRNA,8,0,0,0
249,MER67D,LTR,ERV1,84,41,45,64
250,MLT1H1,LTR,ERVL-MaLR,530,582,646,527
251,AluYh3,SINE,Alu,201,333,294,263
252,AluYk4,SINE,Alu,128,158,188,161
253,AluYk2,SINE,Alu,99,83,182,90
254,AluYk3,SINE,Alu,143,137,209,120
255,LTR27B,LTR,ERV1,53,52,67,28
256,MER8,DNA,TcMar-Tigger,776,859,919,901
257,tRNA-Leu-CTA,tRNA,tRNA,0,0,0,0
258,MSTC,LTR,ERVL-MaLR,704,696,911,820
259,LTR2752,LTR,ERV1,71,72,64,91
260,UCON39,DNA,TcMar-Tigger,215,497,395,204
261,LTR39-int,LTR,ERV1,16,24,16,56
262,HSAT5,Satellite,Satellite,36,25,28,56
263,HSAT4,Satellite,centr,399,170,148,237
264,LTR22B1,LTR,ERVK,151,99,121,95
265,L1ME3E,LINE,L1,1441,1385,1728,1307
266,UCON89,DNA,hAT?,12,4,20,8
267,LTR46-int,LTR,ERV1,188,200,277,227
268,tRNA-Thr-ACG,tRNA,tRNA,0,0,0,0
269,L1P4b,LINE,L1,0,2,24,0
270,Zaphod3,DNA,hAT-Tip100,116,84,214,64
271,L1PBa,LINE,L1,784,728,729,540
272,MamRTE1,LINE,RTE-BovB,6838,7417,12566,8982
273,UCON80,DNA,hAT?,26,12,79,35
274,UCON83,SINE?,SINE?,0,0,0,0
275,LTR16D,LTR,ERVL,160,195,152,126
276,LTR16C,LTR,ERVL,968,874,1176,940
277,L1PBb,LINE,L1,432,154,130,84
278,LTR16A,LTR,ERVL,472,455,489,485
279,UCON86,LINE,L2,8,20,60,8
280,LTR16B2,LTR,ERVL,116,144,176,198
281,SAR,Satellite,Satellite,0,8,8,0
282,MARNA,DNA,TcMar-Mariner,1903,1950,2909,1745
283,LTR16B1,LTR,ERVL,140,143,148,146
284,LTR9A1,LTR,ERV1,100,226,155,128
285,MER58D,DNA,hAT-Charlie,576,526,945,1168
286,MER58C,DNA,hAT-Charlie,1033,1182,1471,900
287,MER58B,DNA,hAT-Charlie,2396,2314,2845,2240
288,MER58A,DNA,hAT-Charlie,4888,5629,6855,5135
289,MamGypLTR2c,LTR,Gypsy,114,71,96,96
290,HSATI,Satellite,Satellite,0,7,0,0
291,Charlie3,DNA,hAT-Charlie,261,237,281,224
292,Charlie1,DNA,hAT-Charlie,1269,1011,1701,1107
293,Charlie6,DNA,hAT-Charlie,37,89,256,136
294,Charlie7,DNA,hAT-Charlie,872,829,1253,933
295,Charlie4,DNA,hAT-Charlie,24,27,8,9
296,Charlie5,DNA,hAT-Charlie,547,479,633,547
297,MER39B,LTR,ERV1,390,425,599,340
298,Charlie8,DNA,hAT-Charlie,1444,1149,1446,1217
299,L1MC5,LINE,L1,6346,6633,9443,7220
300,MER101-int,LTR,ERV1,694,499,816,619
301,HSMAR1,DNA,TcMar-Mariner,846,802,1648,965
302,LTR42,LTR,ERVL,145,144,260,56
303,LTR41,LTR,ERVL,515,686,1019,859
304,HSMAR2,DNA,TcMar-Mariner,844,664,1125,670
305,LTR46,LTR,ERV1,211,207,320,164
306,LTR45,LTR,ERV1,8,0,32,16
307,LTR44,LTR,ERV1,52,24,100,43
308,Tigger19a,DNA,TcMar-Tigger,1350,1121,1896,1229
309,LTR49,LTR,ERV1,152,152,374,253
310,LTR48,LTR,ERV1,340,146,297,216
311,AluYb9,SINE,Alu,63,46,82,57
312,AluYb8,SINE,Alu,232,216,369,283
313,LTR38C,LTR,ERV1,40,40,24,0
314,LTR38B,LTR,ERV1,52,4,44,44
315,tRNA-Leu-CTG,tRNA,tRNA,0,0,20,12
316,Tigger4a,DNA,TcMar-Tigger,1112,1329,1277,1448
317,LTR26B,LTR,ERV1,44,28,24,8
318,Alu,SINE,Alu,334,349,590,413
319,LTR26D,LTR,ERV1,13,34,0,3
320,LTR26E,LTR,ERV1,60,52,87,87
321,MER9a2,LTR,ERVK,71,52,194,102
322,HERV15-int,LTR,ERV1,52,74,87,68
323,L1MB8,LINE,L1,8141,8055,10541,9054
324,UCON69,DNA,hAT?,0,0,0,0
325,Charlie14a,DNA,hAT-Charlie,466,384,828,785
326,HERV-Fc2-int,LTR,ERV1,0,0,0,0
327,L1MB1,LINE,L1,1370,1301,1467,1509
328,L1MB3,LINE,L1,7251,7506,9370,7694
329,L1MB2,LINE,L1,5412,6699,6441,5326
330,L1MB5,LINE,L1,4226,3658,4627,4098
331,L1MB4,LINE,L1,4278,4035,5347,4481
332,AluJr4,SINE,Alu,2643,2968,4513,3584
333,L1P4a,LINE,L1,87,144,156,110
334,UCON4,Unknown,Unknown,64,24,60,16
335,UCON71_Crp,Unknown,Unknown,109,32,237,126
336,MamRep4096,DNA,hAT-Tip100,255,323,252,175
337,MER135,DNA,DNA,97,198,281,145
338,THE1-int,LTR,ERVL-MaLR,37,144,218,118
339,HERVS71-int,LTR,ERV1,465,344,496,373
340,HSAT6,Satellite,Satellite,0,0,0,0
341,HERVK11-int,LTR,ERVK,118,114,160,183
342,ACRO1,Satellite,acro,1,7,0,2
343,LTR90A,LTR,LTR,93,31,111,95
344,UCON35,Unknown,Unknown,20,8,4,12
345,LTR90B,LTR,LTR,92,72,24,86
346,LTR27E,LTR,ERV1,88,44,72,28
347,MER65B,LTR,ERV1,20,0,40,16
348,MER65A,LTR,ERV1,192,251,303,179
349,UCON88,Unknown,Unknown,0,4,0,8
350,HERVK3-int,LTR,ERVK,652,485,692,727
351,L1ME2z,LINE,L1,2601,2448,3509,2868
352,L1PA11,LINE,L1,1445,1897,1964,1544
353,OldhAT1,DNA,hAT-Ac,3527,3523,5534,3592
354,LTR91,LTR,ERVL,39,28,12,20
355,Charlie1a,DNA,hAT-Charlie,2659,2589,3379,2773
356,Charlie1b,DNA,hAT-Charlie,1089,982,1614,1292
357,PRIMA41-int,LTR,ERV1,60,145,116,77
358,LTR26C,LTR,ERV1,23,143,43,12
359,LTR27D,LTR,ERV1,0,8,24,0
360,SST1,Satellite,centr,59,64,86,41
361,MER54A,LTR,ERVL,201,194,102,97
362,MER103C,DNA,hAT-Charlie,3053,2976,4262,3279
363,MER51-int,LTR,ERV1,271,217,318,232
364,MER67C,LTR,ERV1,193,153,236,218
365,L1PA15,LINE,L1,2827,2681,2787,2543
366,SVA_C,Retroposon,SVA,99,80,182,129
367,AluYm1,SINE,Alu,503,583,660,508
368,UCON81,DNA,hAT-Charlie,0,0,0,16
369,LTR1D1,LTR,ERV1,73,80,84,92
370,L1PA17,LINE,L1,1077,1353,1418,1335
371,ERV3-16A3_I-int,LTR,ERVL,746,1051,1484,1187
372,MER34A1,LTR,ERV1,188,240,346,277
373,Tigger16a,DNA,TcMar-Tigger,546,550,465,441
374,THE1B-int,LTR,ERVL-MaLR,1807,2102,1733,2164
375,Tigger9a,DNA,TcMar-Tigger,288,343,315,220
376,Tigger9b,DNA,TcMar-Tigger,254,223,402,194
377,LTR27C,LTR,ERV1,115,108,132,116
378,Charlie18a,DNA,hAT-Charlie,1628,1078,1700,1201
379,MLT2F,LTR,ERVL,488,315,487,440
380,AluSq10,SINE,Alu,230,242,311,254
381,AluJr,SINE,Alu,14580,12984,20513,14590
382,Charlie10,DNA,hAT-Charlie,291,171,196,324
383,Charlie11,DNA,hAT-Charlie,28,8,24,44
384,Charlie12,DNA,hAT-Charlie,52,12,32,24
385,UCON21,DNA?,DNA?,0,0,0,4
386,L1MEg1,LINE,L1,230,221,295,219
387,L1MEg2,LINE,L1,167,252,204,251
388,Charlie17,DNA,hAT-Charlie,562,355,472,343
389,MER110A,LTR,ERV1,76,87,40,68
390,UCON56,Unknown,Unknown,0,0,0,0
391,UCON82,Unknown,Unknown,0,8,0,0
392,HERVE-int,LTR,ERV1,158,255,279,221
393,MLT1L,LTR,ERVL-MaLR,2217,2142,2790,2623
394,UCON87,Unknown,Unknown,0,0,0,0
395,MLT1H1-int,LTR,ERVL-MaLR,49,59,61,40
396,tRNA-Ala-GCA,tRNA,tRNA,0,0,0,0
397,HUERS-P2-int,LTR,ERV1,125,32,56,28
398,UCON62,DNA?,DNA?,0,0,0,0
399,MLT1E3-int,LTR,ERVL-MaLR,24,23,14,28
400,L2a,LINE,L2,64374,62112,82503,67371
401,Kanga1,DNA,TcMar-Tc2,183,122,127,94
402,MamGyp-int,LTR,Gypsy,368,393,481,276
403,CR1-3_Croc,LINE,CR1,394,485,614,432
404,LTR22E,LTR,ERVK,90,99,325,99
405,MER76-int,LTR,ERVL,40,65,44,96
406,UCON60,Unknown,Unknown,0,0,0,12
407,ERVL-B4-int,LTR,ERVL,1200,1171,1560,1164
408,LTR22B,LTR,ERVK,43,28,34,52
409,LTR22C,LTR,ERVK,4,1,3,3
410,MER81,DNA,hAT-Blackjack,355,251,259,295
411,MLT1H2,LTR,ERVL-MaLR,3537,3283,4233,3383
412,UCON23,DNA,hAT-Tip100?,28,0,8,4
413,MST-int,LTR,ERVL-MaLR,176,284,179,108
414,UCON12A,Unknown,Unknown,0,0,0,0
415,UCON31,Unknown,Unknown,0,0,28,0
416,UCON51,LTR?,LTR?,0,0,0,12
417,CR1-16_AMi,LINE,CR1,120,40,24,100
418,L4_A_Mam,LINE,RTE-X,1442,1372,1758,1175
419,HERVH-int,LTR,ERV1,5742,4163,6964,4208
420,AluSg4,SINE,Alu,957,873,1521,1160
421,LTR23-int,LTR,ERV1,20,25,13,10
422,LTR88c,LTR,Gypsy?,72,56,107,52
423,MamTip1,DNA,hAT-Tip100,188,263,127,140
424,UCON48,Unknown,Unknown,0,12,4,20
425,MamTip3,DNA,hAT-Tip100,84,87,124,99
426,MamTip2,DNA,hAT-Tip100,1342,1385,1968,1218
427,THE1C,LTR,ERVL-MaLR,1334,1395,1738,1695
428,THE1B,LTR,ERVL-MaLR,2944,3054,3446,3083
429,THE1A,LTR,ERVL-MaLR,1377,1197,1851,1124
430,UCON46,Unknown,Unknown,0,0,0,24
431,UCON41,Unknown,Unknown,0,0,0,0
432,UCON40,Unknown,Unknown,192,148,204,307
433,UCON43,Unknown,Unknown,0,0,8,0
434,MER84,LTR,ERV1,204,96,180,142
435,MER4CL34,LTR,ERV1,89,58,104,208
436,LTR1,LTR,ERV1,29,45,79,64
437,MamRep1161,DNA,TcMar-Tigger,0,16,0,8
438,HERV1_I-int,LTR,ERV1,88,44,100,144
439,LTR53B,LTR,ERVL,20,16,36,16
440,UCON68,Unknown,Unknown,0,0,0,0
441,Eulor2A,DNA?,DNA?,20,35,32,8
442,Eulor2B,DNA?,DNA?,28,36,92,20
443,Eulor2C,DNA?,DNA?,0,8,0,0
444,L1M4c,LINE,L1,3571,2820,2904,2504
445,L1M4b,LINE,L1,1262,1344,1744,1180
446,LTR109A2,LTR,ERV1,0,0,0,0
447,Plat_L3,LINE,CR1,811,902,950,1109
448,tRNA-Pro-CCA,tRNA,tRNA,0,0,0,0
449,tRNA-Pro-CCG,tRNA,tRNA,0,0,0,0
450,X6A_LINE,LINE,CR1,637,475,824,434
451,LTR06,LTR,ERV1,4,32,32,44
452,MER101,LTR,ERV1,57,94,129,32
453,HERVL32-int,LTR,ERVL,8,28,16,20
454,L1PREC2,LINE,L1,2447,3097,3621,3118
455,MamGypLTR2b,LTR,Gypsy,72,73,13,100
456,MER105,DNA,hAT-Charlie,125,157,311,242
457,MER104,DNA,TcMar-Tc2,533,537,850,719
458,MamGypLTR3a,LTR,Gypsy,152,122,130,89
459,MER67B,LTR,ERV1,106,199,116,116
460,U13_,snRNA,snRNA,96,95,91,52
461,tRNA-His-CAY_,tRNA,tRNA,4,26,15,12
462,HERVK-int,LTR,ERVK,182,165,206,134
463,AluYf1,SINE,Alu,188,187,299,233
464,AluSx4,SINE,Alu,2065,1808,2369,1971
465,LTR38A1,LTR,ERV1,28,60,4,20
466,AluSx1,SINE,Alu,13562,13850,19015,14610
467,AluSx3,SINE,Alu,4633,4599,6952,4730
468,L1HS,LINE,L1,497,555,561,462
469,L5,LINE,RTE-X,160,118,220,204
470,MER21C,LTR,ERVL,2348,2635,2719,2316
471,MER21B,LTR,ERVL,1026,1519,2219,1480
472,MER21A,LTR,ERVL,997,990,1264,866
473,tRNA-Ser-TCG,tRNA,tRNA,0,0,0,0
474,L2,LINE,L2,21549,20854,26239,23749
475,MIR3,SINE,MIR,24198,23386,32425,24894
476,L3,LINE,CR1,18418,17201,24250,18263
477,Charlie21a,DNA,hAT-Charlie,484,463,807,488
478,ERV24B_Prim-int,LTR,ERV1,60,112,58,72
479,Chompy-6_Croc,DNA,PIF-Harbinger,0,0,0,0
480,MER68-int,LTR,ERVL,122,131,79,96
481,L1M2a1,LINE,L1,28,28,16,32
482,MER88,LTR,ERVL,12,0,0,4
483,LTR75_1,LTR,ERV1,48,16,32,76
484,MER57E1,LTR,ERV1,64,97,150,37
485,MER4A1_,LTR,ERV1,313,329,386,322
486,MER57E3,LTR,ERV1,259,159,351,130
487,HERVK14-int,LTR,ERVK,100,105,117,72
488,GSATX,Satellite,centr,0,8,0,0
489,tRNA-Ser-TCA,tRNA,tRNA,0,0,0,0
490,MER85,DNA,PiggyBac,402,221,420,374
491,LTR16A2,LTR,ERVL,193,191,248,266
492,LTR16A1,LTR,ERVL,383,410,707,532
493,LTR19-int,LTR,ERV1,190,180,281,148
494,LTR71A,LTR,ERV1,59,54,72,48
495,LTR71B,LTR,ERV1,75,59,37,83
496,Charlie9,DNA,hAT-Charlie,426,440,705,647
497,MLT1J-int,LTR,ERVL-MaLR,187,243,397,219
498,MER61C,LTR,ERV1,27,30,22,36
499,MER61B,LTR,ERV1,88,48,131,28
500,MER61A,LTR,ERV1,64,127,76,72
501,Tigger5b,DNA,TcMar-Tigger,667,816,1119,575
502,MER61F,LTR,ERV1,52,12,28,20
503,MER61E,LTR,ERV1,47,166,349,282
504,MER61D,LTR,ERV1,12,12,20,8
505,MER136,DNA,DNA,4,0,8,0
506,MER75,DNA,PiggyBac,130,133,227,132
507,MER76,LTR,ERVL,173,142,154,115
508,MER77,LTR,ERVL,744,811,944,922
509,MER72,LTR,ERV1,118,123,256,159
510,MER73,LTR,ERVL,13,50,90,32
511,L1MC5a,LINE,L1,7939,8124,10678,8375
