,gene,class,family,S35,S36,S31,S32
42,LTR103_Mam,LTR,ERV1?,32,12,47,12
43,LTR61,LTR,ERV1,48,52,73,32
44,tRNA-Leu-TTA_m_,tRNA,tRNA,95,139,20,32
45,FordPrefect_a,DNA,hAT-Tip100,26,0,0,0
46,UCON67,Unknown,Unknown,0,0,0,15
47,LTR60,LTR,ERV1,4,0,0,1
48,tRNA-Leu-CTY,tRNA,tRNA,0,0,12,0
49,LTR60B,LTR,ERV1,0,0,8,0
50,UCON58,Unknown,Unknown,0,0,0,0
51,UCON59,Unknown,Unknown,0,0,0,14
52,UCON24,Unknown,Unknown,0,0,0,0
53,UCON57,Unknown,Unknown,0,0,0,0
54,UCON54,Unknown,Unknown,8,40,4,31
55,UCON55,DNA,TcMar-Tigger,104,148,151,68
56,UCON53,Unknown,Unknown,2,0,0,0
57,HERVKC4-int,LTR,ERVK,24,29,4,31
58,LSAU,Satellite,Satellite,0,0,0,0
59,Chap1_Mam,DNA,hAT-Charlie,280,340,489,268
60,LTR3,LTR,ERVK,257,255,280,118
61,X5B_LINE,LINE,CR1,17,29,50,14
62,AluSg7,SINE,Alu,954,1143,1294,1089
63,AluYi6_4d,SINE,Alu,25,21,27,19
64,LTR4,LTR,ERV1,68,91,68,59
65,LTR5,LTR,ERVK,28,35,45,32
66,LTR8,LTR,ERV1,937,768,1270,866
67,LTR9,LTR,ERV1,198,162,242,101
68,UCON66,Unknown,Unknown,0,0,12,0
69,ORSL,DNA,hAT-Tip100,200,108,298,205
70,X9_LINE,LINE,L1,386,362,494,248
71,MER57C2,LTR,ERV1,32,40,48,20
72,HERVH48-int,LTR,ERV1,171,62,92,20
73,MER57C1,LTR,ERV1,52,30,65,61
74,LTR13A,LTR,ERVK,124,89,212,81
75,hAT-16_Crp,DNA,hAT-Charlie,0,0,0,0
76,MSTB1-int,LTR,ERVL-MaLR,3,40,104,40
77,tRNA-Asn-AAT,tRNA,tRNA,0,0,0,0
78,L1PB3,LINE,L1,1982,4053,2091,1219
79,MER115,DNA,hAT-Tip100,394,494,675,270
80,Tigger13a,DNA,TcMar-Tigger,625,655,1169,458
81,MER117,DNA,hAT-Charlie,825,892,1092,641
82,MER110,LTR,ERV1,48,124,112,40
83,MER112,DNA,hAT-Charlie,913,1292,1823,821
84,L1PB1,LINE,L1,3229,4258,5109,2382
85,MER74A,LTR,ERVL,271,300,457,156
86,HERVK11D-int,LTR,ERVK,24,6,0,12
87,LTR13_,LTR,ERVK,135,60,33,35
88,MER119,DNA,hAT-Charlie,304,338,360,256
89,MER5C1,DNA,hAT-Charlie,151,181,205,82
90,PABL_A,LTR,ERV1,69,101,167,95
91,LTR38,LTR,ERV1,16,56,0,4
92,ALR_Alpha,Satellite,centr,2174,3036,2237,1677
93,MamGypLTR3,LTR,Gypsy,40,39,56,28
94,MER65-int,LTR,ERV1,132,131,179,85
95,MLT1K,LTR,ERVL-MaLR,2602,3032,4061,2086
96,LTR32,LTR,ERVL,144,244,388,191
97,LTR33,LTR,ERVL,1064,1112,1331,731
98,L1MA10,LINE,L1,515,851,1155,718
99,LTR31,LTR,ERV1,8,8,16,8
100,AluYg6,SINE,Alu,39,67,51,52
101,LTR34,LTR,ERV1,36,52,84,30
102,LTR35,LTR,ERV1,33,16,29,28
103,MLT2B2,LTR,ERVL,177,266,168,219
104,HERVK13-int,LTR,ERVK,104,171,204,94
105,UCON25,Unknown,Unknown,0,0,16,0
106,Tigger17a,DNA,TcMar-Tigger,826,897,1258,706
107,L1P1,LINE,L1,476,678,910,410
108,L1P3,LINE,L1,913,1169,1374,683
109,L1P2,LINE,L1,733,982,1214,462
110,L1P5,LINE,L1,7,28,31,29
111,L1P4,LINE,L1,622,749,850,558
112,LTR108b_Mam,LTR,ERVL,4,12,0,0
113,LTR21A,LTR,ERV1,3207,2013,2535,1772
114,tRNA-Arg-AGA,tRNA,tRNA,0,0,0,0
115,LTR21C,LTR,ERVL,0,0,0,0
116,LTR21B,LTR,ERV1,0,28,0,0
117,LTR86B1,LTR,ERVL,68,32,75,52
118,LTR86B2,LTR,ERVL,48,16,0,15
119,UCON103,Unknown,Unknown,0,0,0,0
120,UCON101,Unknown,Unknown,0,0,0,0
121,L1PB,LINE,L1,182,176,326,147
122,UCON107,DNA,hAT-Tag1,20,24,76,67
123,ERV3-16A3_LTR,LTR,ERVL,123,160,126,108
124,tRNA-Glu-GAA,tRNA,tRNA,31,387,9,6
125,LTR18A,LTR,ERVL,95,20,20,59
126,LTR18C,LTR,ERVL,44,0,0,0
127,LTR18B,LTR,ERVL,64,103,104,47
128,ERV24_Prim-int,LTR,ERV1,12,52,96,36
129,MER70C,LTR,ERVL,28,24,36,0
130,LTR3B,LTR,ERVK,2,0,5,0
131,LTR3A,LTR,ERVK,52,13,105,44
132,MSTA,LTR,ERVL-MaLR,2368,2500,3448,1732
133,MSTB,LTR,ERVL-MaLR,1526,1438,2243,1127
134,LTR59,LTR,ERV1,44,28,9,16
135,MER11D,LTR,ERVK,14,8,21,54
136,LTR108a_Mam,LTR,ERVL,87,361,12,12
137,GSATII,Satellite,centr,20,22,11,1
138,ERVL47-int,LTR,ERVL,4,52,12,24
139,MER11C,LTR,ERVK,176,234,311,152
140,MER83B,LTR,ERV1,49,111,57,25
141,LTR24C,LTR,ERV1,38,16,71,42
142,LTR54,LTR,ERV1,64,148,128,102
143,tRNA-Pro-CCY,tRNA,tRNA,0,0,8,0
144,MER129,LTR?,LTR?,8,32,0,4
145,MER6C,DNA,TcMar-Tigger,0,44,20,0
146,LTR16B,LTR,ERVL,174,217,175,93
147,MER6A,DNA,TcMar-Tigger,456,344,496,362
148,MER130,DNA,DNA,19,40,0,20
149,Tigger15a,DNA,TcMar-Tigger,1120,1646,2141,1265
150,Tigger2b_Pri,DNA,TcMar-Tigger,355,427,876,498
151,Kanga11a,DNA,TcMar-Tc2,76,101,156,145
152,MER131,DNA?,DNA?,175,291,676,441
153,THE1D,LTR,ERVL-MaLR,1328,1350,1933,1143
154,Ricksha_c,DNA,MULE-MuDR,229,201,354,200
155,FordPrefect,DNA,hAT-Tip100,92,259,181,126
156,Charlie10a,DNA,hAT-Charlie,116,40,136,136
157,L1M3c,LINE,L1,328,342,374,137
158,Charlie10b,DNA,hAT-Charlie,52,36,68,12
159,L1M3f,LINE,L1,188,176,202,111
160,L1M3d,LINE,L1,72,96,135,75
161,L1M3e,LINE,L1,344,304,480,206
162,LTR47B4,LTR,ERVL,12,0,36,8
163,MLT2C2,LTR,ERVL,110,112,153,85
164,MER92C,LTR,ERV1,12,0,8,4
165,MER92B,LTR,ERV1,505,283,410,302
166,CR1-13_AMi,LINE,CR1,16,0,12,0
167,MER134,DNA?,DNA?,0,4,20,0
168,LTR47B2,LTR,ERVL,31,7,29,2
169,LTR47B3,LTR,ERVL,32,20,16,20
170,LTR1A2,LTR,ERV1,132,221,345,125
171,MER51A,LTR,ERV1,205,462,623,462
172,MER51B,LTR,ERV1,111,143,92,44
173,LTR1A1,LTR,ERV1,58,66,67,50
174,MER51D,LTR,ERV1,48,12,8,7
175,MER51E,LTR,ERV1,40,0,64,4
176,Tigger5,DNA,TcMar-Tigger,240,132,259,144
177,HERV4_I-int,LTR,ERV1,113,76,113,87
178,LTR86C,LTR,ERVL,56,64,52,8
179,MER45C,DNA,hAT-Tip100,101,199,278,88
180,MER45B,DNA,hAT-Tip100,275,116,300,199
181,L3b,LINE,CR1,2378,2299,2964,1913
182,LTR108e_Mam,LTR,ERVL,20,0,32,0
183,MER75A,DNA,PiggyBac,4,12,16,0
184,MER83B-int,LTR,ERV1,32,104,16,63
185,Tigger11a,DNA,TcMar-Tigger,542,423,1005,602
186,Ricksha,DNA,MULE-MuDR,10,25,31,20
187,MER57A-int,LTR,ERV1,735,616,999,780
188,HERVL66-int,LTR,ERVL,20,89,45,51
189,L1MA1,LINE,L1,879,1067,2069,918
190,L1MA2,LINE,L1,1257,2238,3077,1380
191,L1MA3,LINE,L1,2129,3166,4692,1787
192,L1MA4,LINE,L1,1918,2739,4404,1595
193,AluYc,SINE,Alu,452,444,582,418
194,L1MA6,LINE,L1,897,955,1843,853
195,L1MA7,LINE,L1,1074,1449,2786,1512
196,Charlie29a,DNA,hAT-Charlie,293,596,730,450
197,L1MA9,LINE,L1,1802,2914,4689,2294
198,MER4D1,LTR,ERV1,175,420,357,256
199,THE1C-int,LTR,ERVL-MaLR,473,638,831,235
200,UCON16,Unknown,Unknown,0,0,12,0
201,tRNA-Leu-TTG,tRNA,tRNA,4,0,0,0
202,tRNA-Gln-CAA,tRNA,tRNA,4,0,4,4
203,ERVL-int,LTR,ERVL,254,239,212,254
204,tRNA-Leu-TTA,tRNA,tRNA,0,0,0,0
205,tRNA-Gln-CAG,tRNA,tRNA,0,0,0,0
206,_GAATG_n,Satellite,Satellite,1,3,41,3
207,MLT1G-int,LTR,ERVL-MaLR,80,117,104,140
208,MER2B,DNA,TcMar-Tigger,706,1073,809,615
209,UCON12,Unknown,Unknown,0,0,0,0
210,MER30,DNA,hAT-Charlie,1244,1118,1433,1189
211,SSU-rRNA_Hsa,rRNA,rRNA,11409,12591,4113,2766
212,Charlie19a,DNA,hAT-Charlie,370,342,728,462
213,MLT1-int,LTR,ERVL-MaLR,91,64,50,24
214,UCON17,Unknown,Unknown,0,0,20,0
215,UCON14,DNA?,DNA?,16,0,0,24
216,MLT1E2,LTR,ERVL-MaLR,644,750,1037,531
217,MER21-int,LTR,ERVL,179,268,258,86
218,UCON18,Unknown,Unknown,0,0,0,0
219,MIR,SINE,MIR,29515,33256,47858,26075
220,_CATTC_n,Satellite,Satellite,1,0,20,4
221,MLT1E1,LTR,ERVL-MaLR,72,231,212,104
222,MER92-int,LTR,ERV1,154,440,204,89
223,tRNA-Asn-AAC,tRNA,tRNA,0,0,4,0
224,THE1A-int,LTR,ERVL-MaLR,1188,1037,2362,1071
225,tRNA-Val-GTA,tRNA,tRNA,0,0,0,0
226,LTR72B,LTR,ERV1,8,12,0,0
227,Charlie4z,DNA,hAT-Charlie,1576,1828,3203,1815
228,Tigger1a_Mars,DNA,TcMar-Tigger,0,0,0,4
229,MLT1F2,LTR,ERVL-MaLR,1168,1207,1234,880
230,Charlie4a,DNA,hAT-Charlie,1044,1170,1566,954
231,MLT1F1,LTR,ERVL-MaLR,602,563,890,581
232,tRNA-Cys-TGY,tRNA,tRNA,28,16,23,0
233,tRNA-Gln-CAA_,tRNA,tRNA,4,0,6,24
234,ERVL-E-int,LTR,ERVL,1236,1589,1719,665
235,X2_LINE,LINE,CR1,8,35,4,16
236,X7A_LINE,LINE,CR1,164,164,303,126
237,UCON8,DNA,DNA,36,4,28,7
238,MER50-int,LTR,ERV1,34,91,209,50
239,LTR54B,LTR,ERV1,83,140,455,345
240,MamRep488,DNA,hAT-Tip100,88,52,132,35
241,MER84-int,LTR,ERV1,7,7,28,18
242,LTR102_Mam,LTR,ERVL,80,44,204,51
243,PABL_B-int,LTR,ERV1,125,189,286,317
244,MER41-int,LTR,ERV1,408,722,678,335
245,Eulor6C,DNA?,DNA?,0,0,0,0
246,L1MA4A,LINE,L1,1773,1860,3691,1592
247,HERVIP10FH-int,LTR,ERV1,88,211,307,162
248,tRNA-Met_,tRNA,tRNA,0,0,8,0
249,MER67D,LTR,ERV1,52,61,81,69
250,MLT1H1,LTR,ERVL-MaLR,399,521,622,261
251,AluYh3,SINE,Alu,225,293,353,90
252,AluYk4,SINE,Alu,81,192,178,162
253,AluYk2,SINE,Alu,81,47,103,114
254,AluYk3,SINE,Alu,88,71,77,145
255,LTR27B,LTR,ERV1,42,65,52,60
256,MER8,DNA,TcMar-Tigger,427,733,1100,513
257,tRNA-Leu-CTA,tRNA,tRNA,0,12,0,0
258,MSTC,LTR,ERVL-MaLR,694,811,901,483
259,LTR2752,LTR,ERV1,220,108,176,32
260,UCON39,DNA,TcMar-Tigger,44,175,80,56
261,LTR39-int,LTR,ERV1,4,24,54,28
262,HSAT5,Satellite,Satellite,14,33,53,32
263,HSAT4,Satellite,centr,334,131,248,248
264,LTR22B1,LTR,ERVK,76,43,147,48
265,L1ME3E,LINE,L1,1013,1654,1676,1095
266,UCON89,DNA,hAT?,20,8,8,16
267,LTR46-int,LTR,ERV1,156,107,155,71
268,tRNA-Thr-ACG,tRNA,tRNA,0,0,0,0
269,L1P4b,LINE,L1,52,0,0,4
270,Zaphod3,DNA,hAT-Tip100,88,224,160,28
271,L1PBa,LINE,L1,578,593,949,466
272,MamRTE1,LINE,RTE-BovB,4868,4592,8397,5573
273,UCON80,DNA,hAT?,21,16,11,4
274,UCON83,SINE?,SINE?,0,0,0,0
275,LTR16D,LTR,ERVL,28,31,80,36
276,LTR16C,LTR,ERVL,1052,717,1051,619
277,L1PBb,LINE,L1,126,91,264,134
278,LTR16A,LTR,ERVL,478,585,485,264
279,UCON86,LINE,L2,16,12,48,24
280,LTR16B2,LTR,ERVL,188,202,266,36
281,SAR,Satellite,Satellite,0,0,2,0
282,MARNA,DNA,TcMar-Mariner,1242,1622,2202,1321
283,LTR16B1,LTR,ERVL,76,90,232,71
284,LTR9A1,LTR,ERV1,104,108,156,56
285,MER58D,DNA,hAT-Charlie,393,638,1098,633
286,MER58C,DNA,hAT-Charlie,658,681,1371,632
287,MER58B,DNA,hAT-Charlie,1468,1950,2693,1369
288,MER58A,DNA,hAT-Charlie,3073,3900,6854,3845
289,MamGypLTR2c,LTR,Gypsy,76,36,116,40
290,HSATI,Satellite,Satellite,0,0,0,0
291,Charlie3,DNA,hAT-Charlie,215,138,287,128
292,Charlie1,DNA,hAT-Charlie,412,772,1482,626
293,Charlie6,DNA,hAT-Charlie,112,86,224,133
294,Charlie7,DNA,hAT-Charlie,603,752,1054,545
295,Charlie4,DNA,hAT-Charlie,64,12,17,10
296,Charlie5,DNA,hAT-Charlie,338,492,956,351
297,MER39B,LTR,ERV1,546,273,493,267
298,Charlie8,DNA,hAT-Charlie,812,1106,1577,774
299,L1MC5,LINE,L1,4793,5832,10114,5285
300,MER101-int,LTR,ERV1,348,392,703,563
301,HSMAR1,DNA,TcMar-Mariner,816,1041,888,548
302,LTR42,LTR,ERVL,269,138,115,134
303,LTR41,LTR,ERVL,544,483,762,538
304,HSMAR2,DNA,TcMar-Mariner,516,869,806,425
305,LTR46,LTR,ERV1,116,244,114,64
306,LTR45,LTR,ERV1,32,48,4,24
307,LTR44,LTR,ERV1,43,0,43,4
308,Tigger19a,DNA,TcMar-Tigger,944,1116,1951,1118
309,LTR49,LTR,ERV1,136,209,250,203
310,LTR48,LTR,ERV1,337,235,208,158
311,AluYb9,SINE,Alu,24,28,170,94
312,AluYb8,SINE,Alu,305,288,346,237
313,LTR38C,LTR,ERV1,0,28,36,20
314,LTR38B,LTR,ERV1,60,20,40,12
315,tRNA-Leu-CTG,tRNA,tRNA,0,0,0,0
316,Tigger4a,DNA,TcMar-Tigger,757,1232,1983,872
317,LTR26B,LTR,ERV1,24,12,47,4
318,Alu,SINE,Alu,173,258,556,273
319,LTR26D,LTR,ERV1,20,4,40,3
320,LTR26E,LTR,ERV1,42,55,20,24
321,MER9a2,LTR,ERVK,78,22,113,49
322,HERV15-int,LTR,ERV1,49,45,116,13
323,L1MB8,LINE,L1,5517,7527,10770,5739
324,UCON69,DNA,hAT?,0,0,0,0
325,Charlie14a,DNA,hAT-Charlie,426,516,709,479
326,HERV-Fc2-int,LTR,ERV1,0,0,0,0
327,L1MB1,LINE,L1,1011,851,1840,625
328,L1MB3,LINE,L1,4854,6268,9961,5035
329,L1MB2,LINE,L1,3142,6028,6736,3555
330,L1MB5,LINE,L1,3124,3724,5169,2985
331,L1MB4,LINE,L1,3211,3489,6344,3310
332,AluJr4,SINE,Alu,2221,2422,4263,2400
333,L1P4a,LINE,L1,40,74,187,65
334,UCON4,Unknown,Unknown,16,16,91,8
335,UCON71_Crp,Unknown,Unknown,135,84,161,153
336,MamRep4096,DNA,hAT-Tip100,156,188,229,100
337,MER135,DNA,DNA,189,179,152,130
338,THE1-int,LTR,ERVL-MaLR,43,53,69,65
339,HERVS71-int,LTR,ERV1,269,275,506,348
340,HSAT6,Satellite,Satellite,0,0,0,0
341,HERVK11-int,LTR,ERVK,60,136,119,83
342,ACRO1,Satellite,acro,9,3,14,0
343,LTR90A,LTR,LTR,32,55,19,42
344,UCON35,Unknown,Unknown,20,12,0,32
345,LTR90B,LTR,LTR,24,104,96,36
346,LTR27E,LTR,ERV1,124,88,52,40
347,MER65B,LTR,ERV1,8,1,29,32
348,MER65A,LTR,ERV1,167,180,260,194
349,UCON88,Unknown,Unknown,0,16,0,0
350,HERVK3-int,LTR,ERVK,636,735,733,255
351,L1ME2z,LINE,L1,2137,2685,3717,1817
352,L1PA11,LINE,L1,1063,1398,1898,947
353,OldhAT1,DNA,hAT-Ac,2864,3046,4593,2836
354,LTR91,LTR,ERVL,56,24,40,8
355,Charlie1a,DNA,hAT-Charlie,1597,2684,3289,1678
356,Charlie1b,DNA,hAT-Charlie,674,885,1621,828
357,PRIMA41-int,LTR,ERV1,76,52,62,36
358,LTR26C,LTR,ERV1,67,37,68,29
359,LTR27D,LTR,ERV1,0,0,0,0
360,SST1,Satellite,centr,53,66,41,31
361,MER54A,LTR,ERVL,187,120,287,86
362,MER103C,DNA,hAT-Charlie,1652,1674,3144,1313
363,MER51-int,LTR,ERV1,133,268,324,124
364,MER67C,LTR,ERV1,154,227,249,85
365,L1PA15,LINE,L1,1442,2392,3646,1930
366,SVA_C,Retroposon,SVA,122,126,109,81
367,AluYm1,SINE,Alu,479,499,517,448
368,UCON81,DNA,hAT-Charlie,0,0,0,3
369,LTR1D1,LTR,ERV1,60,44,72,48
370,L1PA17,LINE,L1,807,1278,1969,659
371,ERV3-16A3_I-int,LTR,ERVL,953,1230,1127,678
372,MER34A1,LTR,ERV1,136,203,350,169
373,Tigger16a,DNA,TcMar-Tigger,357,438,672,409
374,THE1B-int,LTR,ERVL-MaLR,981,1317,2037,870
375,Tigger9a,DNA,TcMar-Tigger,128,115,380,176
376,Tigger9b,DNA,TcMar-Tigger,218,307,332,207
377,LTR27C,LTR,ERV1,84,126,92,47
378,Charlie18a,DNA,hAT-Charlie,584,748,1672,1258
379,MLT2F,LTR,ERVL,427,339,400,271
380,AluSq10,SINE,Alu,265,277,334,204
381,AluJr,SINE,Alu,11063,11893,18260,12074
382,Charlie10,DNA,hAT-Charlie,142,268,282,123
383,Charlie11,DNA,hAT-Charlie,20,12,128,0
384,Charlie12,DNA,hAT-Charlie,15,8,4,0
385,UCON21,DNA?,DNA?,0,0,0,0
386,L1MEg1,LINE,L1,286,164,344,169
387,L1MEg2,LINE,L1,192,249,281,175
388,Charlie17,DNA,hAT-Charlie,302,416,479,288
389,MER110A,LTR,ERV1,72,103,68,48
390,UCON56,Unknown,Unknown,0,0,0,0
391,UCON82,Unknown,Unknown,0,0,0,0
392,HERVE-int,LTR,ERV1,145,223,200,95
393,MLT1L,LTR,ERVL-MaLR,2167,2086,2750,1487
394,UCON87,Unknown,Unknown,0,0,0,0
395,MLT1H1-int,LTR,ERVL-MaLR,46,15,73,60
396,tRNA-Ala-GCA,tRNA,tRNA,0,0,8,0
397,HUERS-P2-int,LTR,ERV1,36,79,84,92
398,UCON62,DNA?,DNA?,0,0,0,0
399,MLT1E3-int,LTR,ERVL-MaLR,4,4,34,26
400,L2a,LINE,L2,50722,54163,84285,41367
401,Kanga1,DNA,TcMar-Tc2,56,163,148,138
402,MamGyp-int,LTR,Gypsy,188,197,311,152
403,CR1-3_Croc,LINE,CR1,216,335,482,221
404,LTR22E,LTR,ERVK,69,148,142,89
405,MER76-int,LTR,ERVL,48,12,147,143
406,UCON60,Unknown,Unknown,0,0,0,16
407,ERVL-B4-int,LTR,ERVL,948,635,1411,552
408,LTR22B,LTR,ERVK,11,0,17,4
409,LTR22C,LTR,ERVK,1,20,16,0
410,MER81,DNA,hAT-Blackjack,302,389,409,198
411,MLT1H2,LTR,ERVL-MaLR,2675,2404,2396,1735
412,UCON23,DNA,hAT-Tip100?,24,0,12,0
413,MST-int,LTR,ERVL-MaLR,297,165,66,66
414,UCON12A,Unknown,Unknown,0,0,0,0
415,UCON31,Unknown,Unknown,0,0,4,0
416,UCON51,LTR?,LTR?,0,0,0,0
417,CR1-16_AMi,LINE,CR1,83,75,80,24
418,L4_A_Mam,LINE,RTE-X,1087,1154,1575,820
419,HERVH-int,LTR,ERV1,4057,3801,5450,2910
420,AluSg4,SINE,Alu,730,919,1091,657
421,LTR23-int,LTR,ERV1,0,4,39,48
422,LTR88c,LTR,Gypsy?,48,132,63,32
423,MamTip1,DNA,hAT-Tip100,175,160,147,129
424,UCON48,Unknown,Unknown,4,28,4,39
425,MamTip3,DNA,hAT-Tip100,84,98,207,92
426,MamTip2,DNA,hAT-Tip100,1062,1233,1370,1103
427,THE1C,LTR,ERVL-MaLR,988,1246,1793,709
428,THE1B,LTR,ERVL-MaLR,2310,2654,3868,1870
429,THE1A,LTR,ERVL-MaLR,987,989,1811,913
430,UCON46,Unknown,Unknown,0,0,16,0
431,UCON41,Unknown,Unknown,0,0,0,0
432,UCON40,Unknown,Unknown,200,309,260,117
433,UCON43,Unknown,Unknown,0,0,0,8
434,MER84,LTR,ERV1,355,412,232,56
435,MER4CL34,LTR,ERV1,61,84,187,62
436,LTR1,LTR,ERV1,18,100,68,43
437,MamRep1161,DNA,TcMar-Tigger,0,0,35,0
438,HERV1_I-int,LTR,ERV1,12,48,32,33
439,LTR53B,LTR,ERVL,36,0,16,8
440,UCON68,Unknown,Unknown,0,0,0,0
441,Eulor2A,DNA?,DNA?,8,0,0,0
442,Eulor2B,DNA?,DNA?,52,11,40,60
443,Eulor2C,DNA?,DNA?,0,0,0,0
444,L1M4c,LINE,L1,2871,3621,2831,1707
445,L1M4b,LINE,L1,1057,1195,1892,847
446,LTR109A2,LTR,ERV1,0,0,0,4
447,Plat_L3,LINE,CR1,633,787,1064,828
448,tRNA-Pro-CCA,tRNA,tRNA,0,0,0,0
449,tRNA-Pro-CCG,tRNA,tRNA,0,0,0,0
450,X6A_LINE,LINE,CR1,430,515,484,481
451,LTR06,LTR,ERV1,0,24,24,40
452,MER101,LTR,ERV1,24,52,75,8
453,HERVL32-int,LTR,ERVL,16,0,11,0
454,L1PREC2,LINE,L1,2189,2630,3286,1533
455,MamGypLTR2b,LTR,Gypsy,5,39,72,8
456,MER105,DNA,hAT-Charlie,88,153,288,136
457,MER104,DNA,TcMar-Tc2,481,492,952,448
458,MamGypLTR3a,LTR,Gypsy,70,135,120,111
459,MER67B,LTR,ERV1,42,50,169,117
460,U13_,snRNA,snRNA,113,63,217,138
461,tRNA-His-CAY_,tRNA,tRNA,5,0,0,1
462,HERVK-int,LTR,ERVK,332,451,168,85
463,AluYf1,SINE,Alu,150,102,196,145
464,AluSx4,SINE,Alu,1294,1427,1828,1211
465,LTR38A1,LTR,ERV1,8,4,23,0
466,AluSx1,SINE,Alu,12663,12924,18126,11804
467,AluSx3,SINE,Alu,3587,3866,4957,3492
468,L1HS,LINE,L1,275,408,602,261
469,L5,LINE,RTE-X,190,223,183,100
470,MER21C,LTR,ERVL,2024,1745,3082,1671
471,MER21B,LTR,ERVL,1101,1348,1442,768
472,MER21A,LTR,ERVL,887,997,1254,576
473,tRNA-Ser-TCG,tRNA,tRNA,0,0,0,0
474,L2,LINE,L2,17292,17669,27660,13895
475,MIR3,SINE,MIR,18877,20917,29186,16673
476,L3,LINE,CR1,12255,15230,21972,12779
477,Charlie21a,DNA,hAT-Charlie,461,588,805,524
478,ERV24B_Prim-int,LTR,ERV1,40,48,56,36
479,Chompy-6_Croc,DNA,PIF-Harbinger,0,0,0,0
480,MER68-int,LTR,ERVL,120,94,138,45
481,L1M2a1,LINE,L1,12,48,32,32
482,MER88,LTR,ERVL,32,24,8,0
483,LTR75_1,LTR,ERV1,0,0,4,28
484,MER57E1,LTR,ERV1,14,85,85,43
485,MER4A1_,LTR,ERV1,246,98,274,142
486,MER57E3,LTR,ERV1,129,115,263,126
487,HERVK14-int,LTR,ERVK,155,151,179,100
488,GSATX,Satellite,centr,0,20,0,0
489,tRNA-Ser-TCA,tRNA,tRNA,0,0,0,0
490,MER85,DNA,PiggyBac,218,159,235,116
491,LTR16A2,LTR,ERVL,160,229,322,100
492,LTR16A1,LTR,ERVL,253,422,589,267
493,LTR19-int,LTR,ERV1,100,169,83,100
494,LTR71A,LTR,ERV1,20,36,28,55
495,LTR71B,LTR,ERV1,81,76,44,59
496,Charlie9,DNA,hAT-Charlie,528,582,540,414
497,MLT1J-int,LTR,ERVL-MaLR,260,124,263,116
498,MER61C,LTR,ERV1,48,58,47,44
499,MER61B,LTR,ERV1,75,78,84,31
500,MER61A,LTR,ERV1,72,59,111,56
501,Tigger5b,DNA,TcMar-Tigger,710,1241,774,642
502,MER61F,LTR,ERV1,4,8,16,12
503,MER61E,LTR,ERV1,41,35,124,83
504,MER61D,LTR,ERV1,5,16,55,4
505,MER136,DNA,DNA,4,0,0,0
506,MER75,DNA,PiggyBac,124,100,242,36
507,MER76,LTR,ERVL,119,190,173,55
508,MER77,LTR,ERVL,730,823,1060,347
509,MER72,LTR,ERV1,143,191,216,104
510,MER73,LTR,ERVL,34,35,21,28
511,L1MC5a,LINE,L1,5469,7575,10788,5854
512,UCON33,DNA,TcMar-Tigger,20,56,28,36
513,Helitron1Na_Mam,RC,Helitron,12,0,56,4
514,LTR12C,LTR,ERV1,618,719,1040,443
